Author,Date,Tweet
jt9591,2020-11-04 07:54:55,"Biden wins Arizona, says AP."
leahbkoenig,2020-11-04 07:54:55,"Donald Trump is trying to steal the election.

This was a declaration of war on our democracy."
iam_six_,2020-11-04 07:54:55,"Source:      “you know me on a normal day now, I no fit ever lie for you”"
JulzBFab,2020-11-04 07:54:55,FYKC https://t.co/29stRxLk9C
JLGagnaire,2020-11-04 07:54:55,Les grands perdants officiels des #Elections2020 peuvent être d'ores et déjà donnés : ce sont les 8instituts de sondage 🤷‍♂️
JasonFuhrmann3,2020-11-04 07:54:55,"Just a reminder, this is the guy who was begging you not to vote for Trump in 2016, saying he didn't stand a chance against Hillary Clinton."
mary_emzee,2020-11-04 07:54:55,"People scared for Biden winning tomorrow are scared to be taxed extra (most of them don’t even make enough to be taxed in Biden’s tax plans 🤡)
People scared for trump winning tomorrow are scared for their lives and their basic human rights being stripped away

Spot the privilege"
gacururiga,2020-11-04 07:54:55,Africans watching Americans lose their minds after Trump disputed the election results https://t.co/uTcllwtGI7
CraveeDiamond,2020-11-04 07:54:55,They said last time I went to sleep I woke up TRUMP WON IM STAYING UP THIS TIME 😂😭😂😂😭😭😭😭
BBW_BFF,2020-11-04 07:54:55,a real dagger from AP here to affirm a call that the Trump campaign had contested when Fox News made it hours earlier. an Arizona win makes his path to re-election vastly more difficult https://t.co/LZsiCTcWbn
sayno2trump775,2020-11-04 07:54:55,"Donald J. Trump, eager to be a dictator, claims a victory that does not exist while announcing a legal war to stop votes being counted.

His mode of operation is ‘scorched earth.’ His low is bottomless. 

This deceitful traitor should never have been on the ballot."
VoorheesHasAGun,2020-11-04 07:54:55,"""House conservative"" will still have his platform under Biden/Harris as the token loser twat."
GirlNextDoorBet,2020-11-04 07:54:55,"@CoughingHillary @Jay_Eddo 1.9 million uncounted PA votes... i dont want to speculate how many in the other states, nor would i pretend to know... Trump will likely win, no need to insinuate a  fraud is being perpetuated by the Man yall said was too old and slow to string a coherent sentence together"
